data1	d1	d2	d3	d4	d5	pi5		data1	d1	d2	d3	pi3
	16.91 	19.00 	10.15 	4.71 	16.57 	14.22 			13.03 	10.65 	11.79 	14.21 
	8.09 	4.48 	15.07 	8.16 	4.38 	11.67 			0.43 	14.82 	8.86 	9.15 
	19.56 	18.63 	12.32 	7.92 	4.53 	14.45 			2.52 	17.10 	1.52 	11.17 
	11.86 	3.20 	8.99 	10.55 	9.26 	9.03 			14.13 	9.36 	5.97 	12.06 
data31	18.67 	1.21 	6.89 	7.76 	17.65 	11.93 		data31	1.13 	19.56 	3.52 	12.41 
	2.87 	7.94 	11.00 	9.32 	17.64 	12.30 			11.44 	12.34 	12.05 	14.27 
	19.75 	18.81 	2.91 	5.06 	8.40 	13.60 			15.61 	6.25 	13.78 	13.12 
	4.28 	10.42 	2.37 	12.96 	17.37 	11.85 			0.81 	12.10 	3.15 	7.74 
	2.67 	13.30 	3.52 	15.81 	16.34 	11.41 			3.05 	4.14 	1.36 	3.30 
	16.85 	18.54 	1.84 	16.82 	15.80 	12.23 			5.85 	8.11 	9.84 	9.42 
	1.70 	12.25 	8.31 	8.09 	6.65 	8.37 			5.47 	16.32 	3.65 	11.98 
	6.70 	10.21 	10.46 	10.19 	6.17 	9.97 			4.88 	12.11 	12.74 	10.57 
	9.95 	13.95 	18.48 	16.91 	1.24 	11.83 			11.92 	8.06 	14.42 	13.49 
	16.93 	3.48 	15.26 	10.47 	13.09 	12.25 			0.25 	13.04 	1.38 	7.98 
data32	2.06 	6.45 	9.95 	8.12 	8.29 	7.21 		data32	9.30 	12.36 	3.37 	9.44 
	1.59 	19.74 	11.87 	10.05 	16.28 	12.80 			5.86 	12.16 	13.70 	11.74 
	18.59 	16.35 	10.00 	11.71 	14.58 	17.15 			14.07 	6.16 	4.07 	10.88 
	10.08 	15.41 	16.76 	18.73 	5.24 	14.38 			13.28 	5.05 	8.64 	11.00 
	5.61 	9.91 	18.47 	2.41 	3.96 	12.53 			19.19 	17.89 	2.30 	12.90 
	6.79 	13.16 	2.65 	13.16 	13.84 	9.89 			11.42 	19.90 	8.06 	16.78 
	13.30 	19.95 	1.40 	0.23 	6.52 	12.11 			1.16 	14.56 	16.45 	10.56 
	14.21 	9.42 	16.80 	4.73 	5.14 	12.92 			14.60 	15.03 	18.71 	19.99 
	16.07 	11.51 	19.28 	16.19 	10.15 	17.66 			11.49 	6.38 	3.44 	8.96 
	18.11 	1.20 	18.73 	8.63 	19.79 	12.60 			1.60 	13.49 	1.18 	8.80 
data33	15.61 	6.32 	9.19 	2.18 	1.39 	10.20 		data33	14.64 	6.76 	8.36 	12.84 
	8.50 	1.69 	1.74 	7.22 	0.56 	5.43 			6.59 	4.46 	13.68 	10.88 
	12.76 	1.68 	2.30 	6.88 	10.88 	8.67 			15.19 	11.89 	16.89 	17.27 
	17.98 	12.47 	2.29 	19.32 	8.72 	12.96 			13.79 	9.56 	9.71 	14.01 
	8.99 	8.48 	7.02 	9.33 	4.50 	8.30 			0.26 	18.59 	11.32 	11.31 
	4.78 	9.66 	16.07 	0.73 	8.16 	10.08 			1.01 	18.61 	16.52 	11.77 
	11.26 	0.66 	2.78 	5.59 	16.29 	10.17 			15.34 	10.81 	14.64 	15.69 
	10.06 	14.84 	14.18 	18.09 	17.24 	16.89 			8.46 	19.38 	14.21 	16.70 
	5.46 	3.68 	8.23 	11.07 	16.25 	11.96 			6.22 	18.56 	3.56 	13.27 
	4.41 	8.16 	3.75 	6.06 	9.42 	7.90 			3.55 	18.78 	18.10 	13.40 
data34	11.84 	9.45 	8.18 	9.24 	16.36 	14.73 		data34	16.29 	5.14 	14.95 	12.86 
	2.12 	9.55 	12.10 	12.19 	15.73 	10.71 			5.40 	5.30 	10.18 	9.29 
	6.80 	5.59 	11.86 	15.82 	8.67 	12.84 			3.74 	9.00 	19.20 	13.76 
	5.64 	1.33 	0.08 	0.69 	12.12 	7.32 			12.05 	3.20 	4.60 	9.14 
	2.34 	17.47 	18.76 	18.65 	12.96 	12.66 			12.16 	6.93 	17.04 	14.38 
	9.90 	4.71 	11.19 	1.25 	18.56 	11.88 			18.59 	11.44 	8.14 	16.03 
	15.75 	13.75 	8.32 	8.53 	7.06 	13.68 			18.07 	5.51 	14.85 	14.15 
	19.92 	4.49 	11.55 	8.84 	6.12 	14.65 			17.22 	4.91 	16.53 	13.28 
	6.44 	15.29 	12.46 	9.09 	17.81 	14.55 			17.29 	2.63 	19.09 	13.04 
	14.51 	18.01 	1.19 	13.56 	0.53 	11.12 			4.25 	15.38 	3.38 	11.26 
